name,gender
Barrett Golding,M
Amy Dorn,F
Beth Landau,F
Bernard Cooper,M
christina egloff,F
cecilia vaisman,F
chapin wilson,M
christine coyle,F
czerina patel,F
Daniel Orozco,M
Dick Orkin,M
Dierdre Dolan,F
dmae roberts,F
ed dixon,M
ellen horne,F
ellen spiro,F
elaine boehm,F
elizabeth green,F
fiona maazel,F
gabe hudson,M
greg tate,M
haruki murakami,M
judith budnitz,F
ian frazier,M
joss whedon,M
jhumpa lahiri,F
david finkel,M
heather woodbury,F
helen thorpe,F
italo calvino,M
james ellroy,M
jane espenson,F
jeffrey brown,M
jenny ye,F
jessica yu,F
john jodzio,M
jonathan mitchell,M
josef skvorecky,M
kelly coffield,F
kevin morse,M
kimberly meyer,F
larry brown,M
lee sandlin,M
leslie odom jr.,M
liza colonzeas,F
lydia davis,F
mark maron,M
mary pruka,F
michael bernard loggins,M
michele ernsting,F
nicholson baker,M
paige cowett,F
philip larkin,M
rachel rutlidge,F
rob bindler,M
samantha hunt,F
samara freemark,F
sandra loh,F
sonari glinton,F
sarah kate kramer,F
scott brown,M
scott gurian,M
stephanie howard,F
stephen donaldson,M
stuart dybek,M
svetlana alexievich,F
teal krech,F
tice ridley,M
tim kreider,M
tom andrews,M
tony hill,M
trey kay,M
virginia holman,F
wendy mcclure,F
nick van der kolk, M
Steven Jackson,M
Ana Adlerstein,F
Jacob Mcclelland,M
Gregory Whitehead,M
