episode,act,title,contributors,description,episode-act
10,0.02,Act Two.,Ira Glass,A talk with a father who's deceiving his own children. (15 minutes),10.02
10,0.03,Act Three.,"Ira Glass, Neo-futurists",Sketches from the neo-futurists on the subject of double lives.,10.03
10,0.04,Act Four.,,Susan Bergman returns to read an excerpt from her book. (8 minutes),10.04
10,0.21,Credits.,,Credits,10.21
11,0.0,Prologue,,Prologue,11.0
11,0.01,Act One. Dave's Love.,Ira Glass,Bob and Dave were close childhood friends — until their relationship began to lead their peers to believe that it might be more than a friendship. The accusations led to Dave turning on Bob. (11 minutes),11.01
11,0.02,Act Two. Dave's Hate.,,"The story of Dave and Bob continues. For reasons that Bob never fully understood, Dave successfully turned everyone in their school against his former friend, even forming clubs devoted to hating Bob. (13 minutes)",11.02
11,0.03,Act Three. Dave Today.,Ira Glass,"Ira reaches current-day Dave, who is a born-again Christian living with his parents. According to Dave, Bob was at fault for the breakdown in their relationship, because Bob had decided to become friends with someone else. He remembers very little of the fight that is so vivid in Bob's memory. (11 minutes)",11.03
11,0.04,Act 4.,,"Sarah Thyre reads author David Sedaris' ""The Last Time You'll Ever Hear from Me,"" a story of the ultimate Machiavellian scheming. ",11.04
11,0.21,Credits.,,credits,11.21
12,0.0,Prologue.,Ira Glass,"
Samantha Martin trains raccoons to play basketball and rats to bowl. She says that what we want from animals is for them to imitate humans. (6 minutes) Animals • Sports Ira Glass
 ",12.0
12,0.01,Act One. Food Chain In A New York Apartment.,Paul Tough,"This American Life contributor Paul Tough visits Catherine Chalmers. She raises small animals and insects in her apartment, feeds them to each other, and photographs them eating each other. (23 minutes)",12.01
12,0.02,Act Two. More Animals Eating Other Animals.,"David Sedaris, The Pinetree Gang, David Rakoff","An original radio drama called ""Kathleen on the Carpet,"" in which animals talk and hold their own ""animal court."" It's a comedy by David Sedaris, starring our own radio theater company, the Pinetree Gang. (14 minutes)",12.02
12,0.03,Act Three. The Moment Humans Stopped Being Animals.,,"Anthropologists agree that humans stopped being animals when they started walking upright, on two legs. But scientists don't agree on why our ancestors did this. Ten years ago, Scott Carrier decided to do his own research on the subject. He is the author of Running After Antelope. (13 minutes)",12.03
12,0.21,Credits.,,Credits,12.21
13,0.0,Prologue.,Ira Glass,Host Ira Glass explores a self-help cassette tape that promises to bring the listener peace about being single. The only problem is that it achieves this by having you envision your perfect romantic partner. (13 minutes),13.0
13,0.01,Act One. Yearning.,"Doris Wilbur, Ira Glass, Luis Rodriguez","Artist Julie Laffin talks about the inspiration for her ""kissing projects."" Jessica Yu's film Breathing Lessons is about Mark O'Brien, a man using an ""iron lung."" In this excerpt, Mark talks about the yearning he tries to quell through the use of sex surrogates. Poet Luis Rodriguez reads his poem ""Waiting."" Writer Dolores Wilbur tells a story of wanting love. (20 minutes)",13.01
13,0.02,Act Two. Sex.,,Audio artist Gregory Whitehead weaves a story of sexual discovery. And This American Life producer Nancy Updike makes an odd discovery about condom use ... or the lack thereof. (15 minutes),13.02
13,0.03,Act Three. A Wedding.,,Ira describes a wedding held in the dingy basement room of the City of Chicago's Marriage Court. (10 minutes),13.03
13,0.21,Credits.,,Credits,13.21
14,0.0,Prologue.,Ira Glass,"
Host Ira Glass with some tape he recorded of a high school senior prom. Kids goof around in the car after the prom and get lost looking for a friend's house. This tape, Ira says, has all the qualities you look for as a documentary producer: everyone is acting the way they do when there's no tape recorder present. It's intimate and alive, and the kids reveal who they are. This is the quality of all the tape in this episode, though all of it is tape found in basements and attics and thrift stores. Ira calls these stories ""accidental documentaries."" (3 minutes) Automobiles • Teenagers Ira Glass
 ",14.0
14,0.01,"Act One. Berrien Springs, Michigan, Circa 1967.",Ira Glass,"A Midwestern family records a ""letter on tape"" to their son, who is in medical school in California. Three decades later, the recording somehow ends up in a thrift store. The tape gives a complicated portrait of what goes on among the family members. Mother wishes that Father were more religious. Daughter is miffed because Dad won't help her solve her financial problems. Dad tells corny jokes and talks enthusiastically about machines, extrusions and drills used for the family business run from the basement — a business everyone else in the family resents. And after the old tapes, Ira interviews the son they were sending these to, Arthur Davis. (26 minutes)",14.01
14,0.02,"Act Two. Baltimore, Circa 1956.",Ira Glass,"Ira plays tapes of his own father, Barry, who was a radio deejay in the mid-1950s. Barry gave up spinning records when he decided that he couldn't make a decent living at it, and for over a decade he was against his son going into radio, not wanting him to waste time the way he did. (14 minutes)",14.02
14,0.03,"Act Three. Chicago, In The 1960s.",Nora Moreno,"Nora Moreno with tapes of her father, a pioneer in Spanish-language broadcasting in America. Her mother fell in love with her father because of his poetic character on the radio, but in real life, the very things that attracted her to him over the radio drove them apart. (13 minutes)",14.03
14,0.21,Credits.,,Credits,14.21
15,0.0,Prologue.,Ira Glass,"Who are the people we remember as significant figures from our childhood? What is their hold on our imaginations as we age? Ira visits McCosh Elementary on Chicago's South Side, where a man everyone calls ""Mr. Lewis"" is the surrogate dad for hundreds of kids — a nearly mythic figure. (6 minutes)",15.0
15,0.01,Act One. Dawn.,Jack Hitt,"Jack Hitt's quest to find out the truth about the man who lived down the street from him 30 years ago in South Carolina: Gordon Langley Hall, a.k.a. Dawn Langley Hall Simmons. Gordon was rumored to have had one of the first sex change operations in America, then to have married a black man, then to have borne the black man's child. It was said he had a full coming-out party for his Chihuahua. It was said he had voodoo powers. Jack's father, the editor of the local paper in Charleston, generally refused to publish anything about Dawn because it was too sensational — even after big city papers and network TV crews decided Dawn was news. Jack sets out to find what was true and what was rumor about Gordon Langley Hall, and stumbles onto a sprawling story about changing cultural morés in America. (Act One continues after the break; total time is about 41 minutes)",15.01
15,0.02,Act Two. Dawn Again.,Jack Hitt,"Two-and-a-half years after Jack Hitt wrote the story that makes up Act One of our show, he returned to the tale of Dawn Langley Simmons. He brings us up to date on his new conclusions.",15.02
15,0.21,Credits.,,error,15.21
16,0.01,Act One. Presumptiveness.,Ira Glass,Host Ira Glass brings together a panel of Republicans to discuss their lack of excitement about then-presumptive Republican Presidential nominee Bob Dole. (13 minutes),16.01
16,0.02,Act Two. The Economy.,"Alix Spiegel, Ira Glass, Nancy Updike","Temporary employment agencies' business has exploded in the last few years as corporations lay off their full-time employees, especially technical workers. This American Life ""hired"" two temp workers, Lee and Tito, to document their experiences as temps. Ira invites Tito and Lee into the studio to spin some music ""appropriate"" for temp employees. (21 minutes)",16.02
16,0.03,Act Three. Dad.,Lisa Buscani,Poet/performer Lisa Buscani tells a story about her father. (8 minutes),16.03
16,0.04,"Act Four. Economic Development, Chicago Style.",Ira Glass,Ira takes a look at the remarkably successful $156 million renovation of Chicago's Navy Pier. He talks with seven employees working at the businesses on the pier. (13 minutes),16.04
16,0.21,credits,,credits,16.21
17,0.0,Prologue.,Ira Glass,Host Ira Glass talks changing the name of the show from Your Radio Playhouse and stumbles on a more fundamental truth about naming things: The people with an investment in the name can be incredibly divisive. He consults television talk show host Joe Franklin for advice. Joe actually likes the new name: This American Life. (11 minutes),17.0
17,0.01,Act One. Pier Pressure.,Ira Glass,"Navy Pier's renovation was presented as a success in last week's show, but recent press reveals that the pier is bleeding money. WBEZ personality Aaron Freeman and his kids take Ira on a tour of the pier, looking at it from a child's perspective. (11 minutes)",17.01
17,0.02,Act Two. Fan Dance.,Ira Glass,"Barbara Adams, a former member of the Whitewater trial jury, showed up for jury duty wearing a full-scale costume from Star Trek: The Next Generation. Ira dissects a discussion on an Internet mailing list about fandom, inspired by Adams' celebrity. Also: Temple University professor Cindy Patton's childhood infatuation with G.I. Joe dolls concerned her mother, who wanted her daughter doing more traditionally ""girly"" things. As an adult, she decided she wanted her toys back. Her parents were reluctant to give them back to her. She discusses her struggle to recover her ""childhood as a boy."" (21 minutes)",17.02
17,0.03,"Act Three. Fan, Not Fan.",David Isaacson,The first in a series of pieces in the coming months on This American Life: Non-journalists covering aspects of the Presidential campaign. First up: Chicago playwright David Isaacson presents a piece on Pat Buchanan. (13 minutes),17.03
17,0.21,Credits.,,error,17.21
18,0.0,Prologue,,Prologue,18.0
18,0.01,Act One. Lies.,Margy Rochlin,"The story of a woman whose husband lies to her compulsively. At some point, she starts to ask him questions that'll make him lie to her, just to amuse herself. Also, the story of a guy whose roommate in college in Nebraska insisted he'd grown up with the Kennedys. (30 minutes)",18.01
18,0.02,Act Two. More Lies.,Margy Rochlin,"A girl who adored her father tries to figure out what to think after he takes some of her college money and lies to her about it. Also, a woman whose fiancé runs up $10,000 in credit card charges on her Visa card and vanishes. (25 minutes)",18.02
18,0.21,Credits.,,credits,18.21
19,0.0,Prologue,,Prologue,19.0
19,0.01,Act One. The Grizz.,Michael Lewis,"Corporate CEO Maurice ""Morry"" Taylor, Jr. was a Republican candidate for President, and he never had a chance to win the nomination. That didn't stop political reporter and author Michael Lewis from covering Morry's bizarre campaign. Lewis reads from his diaries about life on the road with Morry. (14 minutes)",19.01
19,0.02,Act Two. Citizen Kane.,"Ira Glass, Jack Hitt","Jack Hitt reviews the strange case of William Kane, his mistress, his family, and fifteen vials of frozen sperm. (23 minutes)",19.02
19,0.03,Act Three Another Mixed Legacy.,"Brian Gilmore, Ira Glass","The late Ron Brown, the former U.S. Secretary of Commerce, could have had an easy life, but chose instead to take on stressful, difficult tasks. Brian Gilmore, an attorney and a writer, talks about the collective eulogizing of Brown. (5 minutes)",19.03
19,0.21,Credits.,,Credits,19.21
20,0.01,Act One. In Search Of The Miraculous.,Ira Glass,"Erika Yeomans sees a young man's photo in an art magazine and decides to track him down. Problem is: he's Dutch, he's a performance artist, and he's dead. Supposedly. That doesn't stop her from creating her own mission to get near him — a mission that turns out to mirror certain things about his life. (The Dutch artist was named Bas Jan Ader.) (17 minutes)",20.01
20,0.02,Act Two. Befriending Your Hero.,Ira Glass,"Writer Quincy Troupe talks about how, as a boy, he idolized Miles Davis, and how, as a man, he actually became one of Davis's closest friends. And how his picture of the man changed. (21 minutes)",20.02
20,0.03,Act Three. Snuggles.,Ira Glass,"
A man in New York runs an apology line.Television Ira Glass
 ",20.03
20,0.04,Act Four. 1000 Women Become Selena.,"Ira Glass, Claudia Perez","Eighteen-year-old correspondent Claudia Perez goes to an audition where a thousand Mexican women and girls dress up to play the slain Mexican pop star Selena in an upcoming film about her life. Feelings about Selena run so high that when her fans talk about her, they often cry. (13 minutes)",20.04
20,0.21,Credits.,,error,20.21
21,0.0,Prologue,,Prologue,21.0
21,0.01,Act One. Religious Faction.,Scott Carrier,"Scott Carrier documents a group in Manti, Utah, that left the Mormon church and formed its own polygamous church. The members started fighting, broke up, and no longer speak. Scott is the author of Running After Antelope. (20 minutes)",21.01
21,0.02,Act Two. Political Faction.,Beau O'Reilly,Chicago writer Beau O'Reilly writes about a group of close friends who formed an activist group in the seventies. They split apart because of one woman. (22 minutes),21.02
21,0.03,Act Three. Racial Faction.,Ira Glass,"Ira speaks with Professor Glenn Loury. Loury failed to stand up for a light-skinned friend at a black unity rally in the sixties. He believes that at that moment, their friendship changed. But when Ira tracked the friend down, he remembered it differently. (10 minutes)",21.03
21,0.21,Credits.,,Credits,21.21
22,0.0,Prologue.,Ira Glass,"
Ira's mom is invited to speak to a group of Jewish mothers who only discuss one topic: their relationships with their adult children. So she calls Ira and his siblings to ask their advice (3 minutes).Family • Mothers Ira Glass
 ",22.0
22,0.01,Act One. Me and My Mom,Ira Glass,"
Ira continues the story about his conversation with his mom. Then he calls her up on the air (10 minutes). Family • Mothers • siblings Ira Glass
 ",22.01
22,0.02,Act Two. Sandra Tsing Loh and Her Father,Sandra Loh,"
A story about how the adult children in Sandra Tsing Loh's family deal with her father. This story originally appeared in her book Depth Takes a Holiday (15 minutes).Family • Fathers • siblings Sandra Loh
 ",22.02
22,0.03,"Act Three. Sandra Tsing Loh, Her Father, and His Mail-Order Chinese Wives",Sandra Loh,"
Sandra's father decides, at age 70, to take a Chinese wife. (27 minutes) Family • Fathers • Marriage • Relationships Sandra Loh
 ",22.03
22,0.21,Credits.,,Credits,22.21
23,0.0,Prologue.,Ira Glass,"
As high-school freshmen, Kim, Tiffany, and Laura were enamored of their fellow students who netted the leads in all the school plays. They're seniors now, and they're the ones landing all the lead roles. But that doesn't stop them from continuing to gush about the ""stars"" that went before them (3 minutes). Teenagers • Theater Ira Glass
 ",23.0
23,0.01,Act One.,David Sedaris,David Sedaris reads his story of getting the drama bug. (14 minutes),23.01
23,0.02,Act Two. Lost In Yonkers.,Ira Glass,Host Ira Glass follows the last month of rehearsals of Oak Park and River Forest High School's production of Neil Simon's Lost In Yonkers. (22 minutes),23.02
23,0.03,Continuation of Act One. More drama.,David Sedaris,David Sedaris continues his story. (10 minutes),23.03
23,0.03,Act Three. From The Audience Seats.,Ira Glass,Mark O'Brien is in an iron lung and comes out for short periods of time. What does he do with those precious moments free of the machinery that keeps him alive? He goes to the theater. (6 minutes),23.03
24,0.0,Prologue.,Ira Glass,"
Kara instructs some of her male friends on the proper ways to treat a girl (5 minutes).Relationships • Teenagers Ira Glass
 ",24.0
24,0.01,Act One. Texas Girl.,Jo Carol Pierce,"Jo Carol Pierce released a CD, Bad Girls Upset by the Truth, which documents in part her teenage years. Host Ira Glass shares a couple of songs from the CD and some of the stories behind them. (16 minutes)",24.01
24,0.02,Act Two. Suburban Girl.,,"Chicago writer/musician Rennie Sparks, a member of the independent band The Handsome Family, reads ""Skanks,"" a story of a girl struggling in a situation where some rules are strict, but other rules are up for grabs. (27 minutes)",24.02
24,0.03,Act Three. Good Girl.,,"Producer/sound artist Gregory Whitehead presents his piece ""This Mindless Thing."" (7 minutes)",24.03
24,0.21,Credits.,,Credits,24.21
25,0.0,Prologue,,Prologue,25.0
25,0.01,Act One. Bulls in Our Hearts,Ira Glass,"Chicagoans' dreams of the Bulls, including interviews with Chicagoans. (8 minutes)",25.01
25,0.02,Act Two. Bulls in a Barber Shop. ,Ira Glass,Documentary story about a South Side Chicago barbershop where men gather to watch basketball. (10 minutes),25.02
25,0.03,Act Three. The Meaning of Basketball,"David Isaacson, Ira Glass, Nancy Updike","Chicago playwright David Isaacson, on hating the Bulls.",25.03
25,0.04,Act Four. Basketball and Commerce.,"Beau O'Reilly, Ira Glass, Jeff Dorchen",Chicago playwright Beau O'Reilly goes with Ira to the Scottie Pippin Dodge Store.,25.04
25,0.05,Act Five. One More Dream.,Ira Glass,"A Bulls dream from Chicagoan Brett Grossman, and an acoustic guitar cover of Bulls theme music from Chicago musician Rick Karr. (4 minutes)",25.05
25,0.21,Credits.,,Credits,25.21
26,0.0,Prologue.,,Prologue,26.0
26,0.01,Act One.,Sandra Loh,"
LA writer/performer Sandra Tsing Loh discovers that a local rock band has recorded a song about her own father, wildly misinterpreting who he is. They think he's a free spirit; she believes he's a worried, miserly grump. She invites the band and her father into the studio to discuss it (11 minutes).
Family • Fathers • Music Sandra Loh
 ",26.01
26,0.02,Act Two.,Sherman Alexie,"
Sherman Alexie's story ""Because My Father was the Only Indian Who Saw Jimi Hendrix Play the Star Spangled Banner at Woodstock."" (15 minutes)Activism • Fathers • Music Sherman Alexie
 ",26.02
26,0.03,Act Three.,,Audio artist Jay Allison and writer Dan Robb present an audio montage on the moment Robb's parents divorced. (11 minutes),26.03
26,0.04,Act Four.,,Chicago playwright Beau O'Reilly talks about how he reconciled with his estranged father years ago by becoming an alcoholic just like him. (14 minutes),26.04
26,0.21,Credits.,,credits,26.21
27,0.0,Prologue.,Ira Glass,"
A first-grader explains to host Ira Glass how bullies become bullies. His explanation: They read a book on how to be a bully. According to his reasoning, how else could you explain why kids are mean to each other? It couldn't be that they're just bad. (2 minutes) Children • Education • Literature Ira Glass
 ",27.0
27,0.01,Act One. I Like Guys.,David Sedaris,"David Sedaris reads one of his funniest and most affecting stories from his book Naked before a live audience. As an adolescent boy, David feared he might be a homosexual. He explains how his secret plan was to win the lottery and then hire doctors who would purge him of his homosexual impulses. Sometimes kids in his class at school would taunt the boys they thought were sissies, and when they did, he tried to be the loudest and meanest. He figured if he didn't act that way, they'd all turn on him next. Then he goes away to summer camp and meets a boy named Pete, who seems like an outsider in the same way he is. At first they get close. Then Pete turns on him. Sedaris' latest book is Let's Explore Diabetes with Owls. (26 minutes)",27.01
27,0.02,Act Two. The Man In The Well.,Ira Sher,Original fiction by Ira Sher about a group of children who find a man trapped in a well but decide not to get him any help. First published in the Chicago Review. (17 minutes),27.02
27,0.03,"Act Three. Human Nature, The View From Kindergarten.",,"Author and kindergarten teacher (and MacArthur Genius Grant recipient) Vivian Paley tells the story of an experiment she conducted in her classroom to make children less cruel to each other. She instituted a rule: ""You can't say 'You can't play.'"" In other words, if two children are playing, and a third child comes over and wants to join them, they can't tell him or her to get lost. They can't reject him or her. This is the cause of unending pain in most classrooms and playgrounds. The experiment was a remarkable and immediate success. (11 minutes)",27.03
27,0.21,Credits.,,Credits,27.21
28,0.0,Prologue.,Ira Glass,"Ira talks about one of the purest expressions of ordinary folks' desire to be detectives: a child's detective notebook — full of information, secret codes, cases, and an application to become an FBI agent. (10 minutes)",28.0
28,0.01,Act One.,David Sedaris,"Writer David Sedaris remembers the days his mother and sister played armchair detective, and the odd crime wave that hit their own home. This story, titled ""True Detective,"" appears in David's book Naked. (23 minutes)",28.01
28,0.02,Act Two.,Ira Glass,Ira went out on surveillance with a real private eye in Chicago expecting it to be drudge work with none of the glamour of movie detectives. He was wrong. (21 minutes),28.02
28,0.21,Credits.,,error,28.21
29,0.0,Prologue.,Ira Glass,"
Ira wonders what the Dole campaign is thinking. Does this campaign really have the will to live? (4 minutes)Government • Politics Ira Glass
 ",29.0
29,0.01,Act One. Campaign Diaries.,Michael Lewis,"
We hear campaign diaries from author Michael Lewis, who is on the campaign trail for the New Republic magazine. (29 minutes)Journalism • Politics Michael Lewis
 ",29.01
29,0.02,Act Two. Instructions on How You Can Become Bob Dole.,Ira Glass,"
Former Saturday Night Live writer Robert Smigel — who impersonates Dole on Late Night with Conan O'Brien and the deceased Dana Carvey Show — gives step-by-step instructions on how to imitate the Republican nominee. (13 minutes)Funny • Politics • Presidents • Television Ira Glass
 ",29.02
29,0.03,Act Three. TV Politics.,Danny Drennan,"
We give Danny Drennan, the writer behind the website Inquisitor Mediarama, a little assignment. (11 minutes)Funny • Politics • Presidents • Television Danny Drennan
 ",29.03
29,0.21,Credits.,,Credits,29.21
30,0.0,Prologue,,Prologue,30.0
30,0.01,Act One.,"Ira Glass, Paul Tough",A woman obsessed with the number 2. (11 minutes),30.01
30,0.02,Act Two.,"Lauren Slater, Paul Tough",A story by Lauren Slater about getting obsessive compulsive disorder. (19 minutes),30.02
30,0.03,Act Three.,,An Orthodox Jew talks about whether Hasidic Judaism is like an obsession. (9 minutes),30.03
30,0.04,Act Four.,,A story of a woman who made a kitchen out of beads. (10 minutes),30.04
30,0.21,Credits.,,Credits,30.21
31,0.0,Prologue,,Prologue,31.0
