episode,act,title,contributors,description,episode-act
1,0.0,Prologue.,Ira Glass,"Ira talks with Joe Franklin, host of the longest running talk show in television history, to get advice for his new radio show. (6 minutes)",1.0
1,0.01,Act One.,Ira Glass,"After he goes to Jerusalem and sleeps on what is supposedly the very spot where Jesus was crucified, Kevin Kelly has a revelation: that he should live the next six months as if he would die at the end of them. So he gives away nearly everything he owns, and tries to live each day as if his death is imminent — which turns out to be a great challenge. This story was eventually used in a much later program, Shoulda Been Dead. At the time of this interview, Kevin Kelly was executive editor of Wired magazine. Now he's a contributing editor there, and also runs the Cool Tools website. (23 minutes)",1.01
1,0.02,Act Two.,Ira Glass,Ira calls his parents Shirley Glass and Barry Glass in Baltimore to ask them for advice about his new radio show. (7 minutes),1.02
1,0.03,Act Three.,Lawrence Steger,"When filmmaker and performance artist Lawrence Steger found out he was HIV positive, he was just about to go out on across country road trip with a friend of his. (13 minutes)",1.03
1,0.04,Act Four.,,"Ira talks with Ed Ryder, who was wrongly imprisoned for twenty years and recently released. The whole time Ryder was in prison, he dreamt of starting up a band. Now, out of prison, he's done just that. Ira asks him if music means different things to him now that his future is more his own. We replayed his rendition of ""God Bless the Child"" in the show Lockup. (9 minutes)",1.04
1,0.21,Credits.,,Credits,1.21
2,0.0,Prologue.,Ira Glass,"
Three teenage boys—going under the pseudonyms ""K-Rad"", ""Mr. Warez"", and ""Fred""—spill their guts about their forays into low-level credit card hacking and computer fraud. Along the way, they talk about the nature of Hell and where they draw the line on their sins. (16 minutes)Crime • Technology • Teenagers Ira Glass
 ",2.0
2,0.01,Act One.,Jeff Dorchen,The Golden Peacock. Playwright Jeff Dorchen creates an original radio play inspired by the musings of the three boys in the previous story. (10 minutes),2.01
2,0.02,Act Two.,,Poet Michael Warr talks with Ira and reads some of his poems inspired by his childhood. Warr grew up as a Jehovah's Witness and found that he had some problems with the religion's rules. He is the author of several books of poetry. (8 minutes),2.02
2,0.03,Act Three.,,"In the 1990s, Eli was a member of MOD, one of the most infamous and accomplished computer hacking groups in history. He was eventually arrested and served time in a minimum-security prison and home confinement. It turns out that the very sins he committed that led him to serve time were more in demand in prison than they ever were on the outside. (26 minutes)",2.03
2,0.21,Credits.,,Credits,2.21
3,0.01,Act One.,Ira Glass,"Duki's story. When Danielle's family serves poultry at their dinner table, no one utters the word ""chicken."" Instead, it is always called ""fish."" Danielle explains why with the help of her friend ""Duki."" (20 minutes)",3.01
3,0.02,Act Two.,Julie Showalter,"Julie Showalter, who grew up on a turkey farm, tells the story of the night 3,000 turkeys died. (8 minutes)",3.02
3,0.03,Act Three.,,A poultry-themed poem by Luis Rodriguez. (4 minutes),3.03
3,0.04,Act Four.,,"Verda Mae Grosvenor, host of NPR's Seasonings, shows Ira how to tell a chicken is done simply by listening the sound of the grease. (6 minutes)",3.04
3,0.05,Act Five.,,Writer David Sedaris tells of the giddiness he felt when he purchased a taxidermy turkey head — attached to its foot. (3 minutes),3.05
3,0.06,Act Six.,,"
Starting on radio station WCFL in Chicago, ""Chickenman"" was a much-loved radio feature in the 1960s. Ira presents the first new ""Chickenman"" episode since 1969. (8 minutes)Radio ",3.06
4,0.0,Prologue.,Ira Glass,Host Ira Glass shares photos (on the radio) of his family vacation in Hawaii. He poses the question: What can families do on vacation that make them feel closer? (9 minutes),4.0
4,0.01,Act One.,Sandra Loh,"Writer/singer/performer Sandra Tsing Loh reads a story about a family vacation arranged by her mother, who believed that vacations couldn't be merely for leisure—they had to be educational. Which is how the family ended up vacationing in...Ethiopia. (22 minutes)",4.01
4,0.02,Act Two.,David Sedaris,Contributor David Sedaris tells a story about discovering the possibilities—and pitfalls—of travel by hitchhiking. (25 minutes),4.02
4,0.03,Act 3.,,"
Kristine Moore ",4.03
4,0.21,Credits.,,error,4.21
5,0.0,Prologue.,Ira Glass,"
Host Ira Glass reads a list of words that former U.S. Representative Newt Gingrich had recommended Republican candidates use when referring to their Democratic opponents (7 minutes).Government • Politics • Presidents Ira Glass
 ",5.0
5,0.01,Act One.,"Jack Hitt, Ira Glass","Former Harpers magazine editor and TAL contributor Jack Hitt wrote an editorial about Susan Smith, who murdered her two children in South Carolina. The editorial redirected the rage from Smith toward Hitt. One of the countless angered readers of Hitt's piece gets a chance to confront him about his plea for forgiveness for Susan Smith. (15 minutes)",5.01
5,0.02,Act Two.,"Iris Moore, Larry Steeger",Performance artists Iris Moore and Larry Steeger provide monologues on forgiveness. Larry's was based on the testimony of serial murderer Jeffrey Dahmer.,5.02
5,0.03,Act Three.,,"In the last few years, laws and sentencing guidelines have become much harsher. Sociologically this has had some good effects. Chicago attorney Darron Bowden presents a more negative effect to such inflexibility in the case of the sentencing of one 13-year-old boy. (6 minutes)",5.03
5,0.04,Act Four.,,"Glen Fitzgerald, a Chicago missionary who works with gang members, talks about his concept of forgiveness, and how important it is to being Christian. (9 minutes)",5.04
5,0.05,Act Five.,,"A story by Cheryl Trykv, read by the author in front of a live audience at The Hothouse, illustrates what it means when the sinner makes no attempt to seek forgiveness. (14 minutes)",5.05
5,0.21,Credits.,,Credits,5.21
6,0.0,Prologue.,"David Sedaris, Ira Glass, The Pinetree Gang","
A Christmas radio play by David Sedaris and the Pinetree Gang (28 minutes).Holidays • Music • Theater David Sedaris
Ira Glass
The Pinetree Gang
 ",6.0
6,0.01,Act One.,Beau O'Reilly,A Christmas tree story by Chicago playwright/musician Beau O'Reilly. (14 minutes),6.01
6,0.02,Act Two.,"Ira Glass, Reginald Gibbons",A story about Christmas at Juvenile Court by Chicago novelist/editor Reginald Gibbons. (10 minutes),6.02
6,0.03,Act Three.,,Peter Clowney reports on Christmas at the Faith Tabernacle Baptist Church.,6.03
6,0.21,Credits.,,Credits,6.21
7,0.0,Prologue.,Ira Glass,"Evan Harris was entrenched in her life, stalled and going nowhere both personally and professionally. A silly conversation with a co-worker about the letter ""Q"" led her to start a magazine called Quitter Quarterly. That one conversation changed her life completely. (22 minutes)",7.0
7,0.01,Act One.,Sandra Loh,A story about quitting by Sandra Tsing Loh. (10 minutes),7.01
7,0.02,Act Two.,Ira Glass,Ira explores the question of when it's time to quit a relationship through rare recordings of bickering between roommates—recorded by the next-door neighbors. (9 minutes),7.02
7,0.03,Act Three.,Lisa Buscani,Lisa Buscani reads a two-part story about not being able to quit something or someone. The piece was written for This American Life. (13 minutes),7.03
7,0.04,Act Four,,"Dwight Okita reads the poem ""Farewell Samba"" from his book Crossing with the Light.",7.04
7,0.21,Credits.,,Credits,7.21
8,0.0,Prologue.,Ira Glass,"
Host Ira Glass talks about recently released archival television interviews with the Beatles, who suddenly seem a little less magic — and a lot more pedestrian (4 minutes). Music • Television Ira Glass
 ",8.0
8,0.01,Act One.,Ira Glass,Eighteen-year-old Claudia Perez takes Ira on a tour of her Chicago neighborhood and looks at what 1995 was like for her community. (18 minutes),8.01
8,0.02,Act Two.,Ira Glass,"Ira talks with Karen Hutt, Director of Religious Education for the First Unitarian Church of Chicago, who one Sunday gave a sermon at the church about her experience as the first black child to integrate the Philadelphia public school system. The sermon inspired a project: Hutt, along with Laura Finnegan, collected an oral history of the experiences of African American members of the congregation about their own experiences as the ""first"" integrators of their neighborhoods or organizations. (31 minutes)",8.02
8,0.03,Act Three.,Ira Glass,Claudia Perez returns to talk about her year from a more personal perspective. (7 minutes),8.03
8,0.21,Credits.,,error,8.21
9,0.0,Prologue.,Ira Glass,"
Ira talks about the adage ""Comedy equals tragedy plus time."" Usually it's true, he says, though today's show is devoted to someone who decided to go on stage the same week she was experiencing some horrible things — and talk about those things. (3 minutes) Cancer • Health Care/Medicine Ira Glass
 ",9.0
9,0.01,Act One. Julia's Brother Gets Cancer.,Julia Sweeney,"Julia talks about her brother Michael's cancer. He was diagnosed with non-Hodgkins lymphoma, stage four. He had no insurance. Julia took care of him, and he and her parents moved into her house to be near a cancer treatment center. (25 minutes)",9.01
9,0.02,Act Two. Julia Gets Cancer.,Julia Sweeney,"In the second half of the show, she talks about her own cancer — cervical cancer that was diagnosed six months after her brother got sick. Julia eventually turned some of these vignettes into a one-woman show called God Said, Ha!, which Quentin Tarantino made into a movie and Julia released as a book. The comedy club where she performed, Un-Cabaret, is devoted to getting very funny people to tell unusually honest stories. Julia's latest one-woman show is called Letting Go of God, excerpts of which are heard in our episode Godless America. (25 minutes)",9.02
9,0.21,Credits.,,error,9.21
10,0.0,Prologue.,Ira Glass,"
Susan Bergman's father was a family man, head of the church choir, and, secretly, having sex with men. He died before his children had a chance to really talk to him about what they should make of his hidden life. This, and other stories of parents deceiving their children. (3 minutes)Childhood • Family • Fathers • Sexuality Ira Glass
 ",10.0
10,0.01,Act One.,Ira Glass,"
When Susan Bergman wrote a book about her family's experience, other gay men tried to explain her father's actions to her. (17 minutes)Family • Fathers • Marriage • Parenting • Relationships • Sexuality Ira Glass
 ",10.01
