episode-act,percentMaleProducers,totalProducerCount,percentMaleSubjectDialogue,maleSubjectWordCount,totalSubjectWordCount,episode,act,title,contributors,description
1.01,100.0,1.0,100.0,9.0,9.0,1,0.01,Act One.,Ira Glass,"After he goes to Jerusalem and sleeps on what is supposedly the very spot where Jesus was crucified, Kevin Kelly has a revelation: that he should live the next six months as if he would die at the end of them. So he gives away nearly everything he owns, and tries to live each day as if his death is imminent — which turns out to be a great challenge. This story was eventually used in a much later program, Shoulda Been Dead. At the time of this interview, Kevin Kelly was executive editor of Wired magazine. Now he's a contributing editor there, and also runs the Cool Tools website. (23 minutes)"
310.02,100.0,1.0,100.0,328.0,328.0,310,0.02,"Act Two. September 11th, 1660.",Jon Ronson,"
Habeas corpus began in England. And recently, 175 members of the British parliament filed a ""friend of the court"" brief in one of the U.S. Supreme Court cases on habeas and Guantanamo—apparently, the first time in Supreme Court history that's happened. In their brief, the members of Parliament warn about the danger of suspending habeas: ""During the British Civil War, the British created their own version of Guantanamo Bay and dispatched undesirable prisoners to garrisons off the mainland, beyond the reach of habeas corpus relief."" In London, reporter Jon Ronson, author of Them: Adventures with Extremists, goes in search of what happened. (7 minutes) Criminal Justice • History • Legal System Jon Ronson
 "
300.01,100.0,1.0,100.0,3105.0,3105.0,300,0.01,"Act One. Truth, Damn Truth, And Statistics.",Alex Blumberg,"
About a year ago, a John Hopkins University study in the British medical journal The Lancet estimated the number of civilian casualties in Iraq. It came up with a number—100,000 dead—that was higher than any other estimate, and was mostly ignored. This week, Producer Alex Blumberg tells the remarkable story of what it took to find that number, why we should find it credible and why almost no one believed it. (The original Lancet study is online; free registration is required). (38 minutes) Iraq • War Alex Blumberg
 "
302.01,100.0,1.0,100.0,61.0,61.0,302,0.01,"Act One. Not Just Tourists, Tourists Who Care.",Chris Tenove,"
Chris Tenove had this idea he thought could really make a difference for people in the developing world. The thought was to bring well-meaning tourists where their money would do the most good, spend some time with the locals, and then leave behind a little money to help out. To see if his idea has any merit, Chris decided to try it out...by himself. In Sierra Leone. (19 minutes) Development • Travel Chris Tenove
 "
304.01,100.0,1.0,100.0,3313.0,3313.0,304,0.01,Act One. Rise.,Russell Cobb,"
Reporter Russell Cobb takes us through the remarkable and meteoric rise of Carlton Pearson from a young man to a Pentecostal Bishop: From the moment he first cast the devil out of his 17-year-old girlfriend, to the days when he had a close, personal relationship with Oral Roberts and had appearances on TV and at the White House. Just as Reverend Pearson's career peaked, with more than 5,000 members of his congregation coming every week, he started to think about Hell, wondering if a loving God would really condemn most of the human race to burn and writhe in the fire of Hell for eternity. (30 minutes) Religion Russell Cobb
 "
307.01,100.0,1.0,100.0,1565.0,1565.0,307,0.01,Act One. Brooklyn Archipelago.,Brett Martin,"
Out for a simple pleasure cruise with two friends, Alex Zharov was planning to see Jamaica Bay in New York City. But this end-of-the-day excursion, which should have only lasted 40 minutes, turns into an out-of-control adventure that left him lost, stranded, and bleeding...all within sight of the Empire State Building. Brett Martin reports. (23 minutes)Alcohol • Boats Brett Martin
 
Song:
""Lights"", Journey 
 
"
309.01,100.0,1.0,100.0,1298.0,1298.0,309,0.01,Act One. El Gato Y El Ratoncito.,James Spring,"
Just near the US-Mexico border, a group of self described ""pissed off patriots"" called the Minutemen stake out illegal immigrants trying to cross the border. They've got call-signs and walkie-talkies and guns. But not long after they've set up their observation posts, another group shows up to cause trouble. In the dark of night, in the high desert of California, the chase begins. James Spring embeds himself for the night. (21 minutes)Criminal Justice • Immigration James Spring
 
Song:
""Wake Up America"", Gianluca Zanna 
 
"
309.03,100.0,1.0,100.0,232.0,232.0,309,0.03,Act Three. Looking For Loveseats In All The Wrong Places.,David Segal,"
It's been well over a decade, so why can't Eric, who is in many other respects a measured and reasonable person, select a simple piece of furniture? David Segal attempts to explain why the man can't just buy himself a couch, already. David works at The New York Times. (8 minutes)Funny • Housing David Segal
 
Song:
""A House is Not a Home"", Luther Vandross 
 
"
309.04,100.0,1.0,100.0,541.0,541.0,309,0.04,"Act Four. Spray My Name, Spray My Name.",Brian Thomas Gallagher,"
In a way, it's the most classic cat-and-mouse game of all: A nimble graffiti writer dashes out into the night to leave his mark. Watching and waiting for him are the stronger—if less agile—NYPD Vandal Squad, whose sole mission is their arrest. Brian Thomas Gallagher reports. (8 minutes) Art • Crime • Police Brian Thomas Gallagher
 "
310.01,100.0,1.0,100.0,1527.0,1527.0,310,0.01,Act One. There's No U.s. In Habeas.,Jack Hitt,"
Jack Hitt explains how President Bush's War on Terror changed the rules for prisoners of war and how it is that under those rules, it'd be possible that someone whose classified file declares that they pose no threat to the United States could still be locked up indefinitely—potentially forever!—at Guantanamo. (26 minutes).Clarification: When Seton Hall professor Baher Azmy discusses the classified file of his client, Murat Kurnaz, he is referring to information that had previously been made public and published in the Washington Post. That material has subsequently been reclassified. Criminal Justice • Legal System • Terrorism Jack Hitt
 "
310.03,100.0,1.0,100.0,1646.0,1646.0,310,0.03,Act Three. We Interrogate The Detainees.,Jack Hitt,"
Although more than 200 prisoners from the U.S. facility at Guantanamo Bay have been released, few of them have ever been interviewed on radio or on television in America. Jack Hitt conducts rare and surprising interviews with two former Guantanamo detainees about life in Guantanamo. (20 minutes) Criminal Justice • Legal System • Terrorism Jack Hitt
 "
321.02,50.0,2.0,100.0,2248.0,2248.0,321,0.02,Act Two. I'm Not A Doctor But I Play One At The Holiday Inn.,"Lu Olkowski, Trey Kay","
A former heroin addict realizes that he wants to help other addicts kick their habits. The problem is, he wants to do this using a hallucinogenic drug – ibogaine – that is completely illegal, and which requires medical expertise he doesn't have. Lu Olkowski and Trey Kay reported this story, which is narrated by Lu. (16 minutes) Addiction • Drugs • Health Care/Medicine Lu Olkowski
Trey Kay
 "
311.03,100.0,1.0,100.0,61.0,61.0,311,0.03,Act Three. What Would Fill-in-the-blank Do?,Brett Martin,"
Reporter Brett Martin tries to use the tools of modern marketing to invent a new religion...one that would serve all the Americans who don't associate with any particular organized religion. It's a lot of people: Forty-three percent of the country says they don't consider themselves religious (according to a 2002 USA Today/Gallup poll). (11 minutes) Business • Religion Brett Martin
 
Song:
""My God Is A Mighty Man"", Anthony Butler 
 
"
314.02,100.0,1.0,100.0,65.0,65.0,314,0.02,Act Two. Life Without Leanne.,Larry Doyle,"
Writer Larry Doyle on a love that will not die, no matter how dead it is. (7 minutes)Fiction • Funny • Love Larry Doyle
 
Song:
""It's Always You"", Chet Baker 
 
"
314.04,0.0,1.0,100.0,107.0,107.0,314,0.04,Act Four. One Word: Timing.,Tami Sagher,"
Television comedy writer Tami Sagher describes what can happen when you sit on a joke for years, as she did, before the perfect opportunity to tell it comes along. (11 minutes)Funny • Presidents • Writing Tami Sagher
 "
315.01,100.0,2.0,100.0,258.0,258.0,315,0.01,Act One. Parrot.,"Alex Lane, Eric Holm","
This parrot story began as a journalism school assignment. Then, for reporters Alex Lane and Eric Holm, it became something much bigger. They tell Ira the epic tale of a rare parrot stolen by ""Johnny,"" or John Bryant Davila as he likes to be called now, from the Central Park Zoo in 1999. They say it's the best story they've ever worked on, but after years of telling it to friends and strangers, Alex and Eric aren't always sure of where the facts stop and the embellishment begins. So they decide to go back to the main characters and find out. (22 minutes). Alcohol • Animals • Crime • Funny Alex Lane
Eric Holm
 "
315.02,100.0,1.0,100.0,1823.0,1823.0,315,0.02,Act Two. Pig.,Jonathan Goldstein,"
A friend tells Jonathan Goldstein how a trip with a pot-bellied pig ended up revealing his character and making his girlfriend leave. Jonathan Goldstein is the host of the radio show Wiretap on the CBC, where a version of this story originally aired. (14 minutes)Animals • Relationships Jonathan Goldstein
 
Song:
""Animal Farm"", The Kinks 
 
"
316.01,100.0,1.0,100.0,164.0,164.0,316,0.01,Act One. Promise Keeper Cat.,Dan Savage,"
Dan Savage made a pledge over a decade ago that he hoped would just vanish. But it somehow returns from oblivion. Dan's latest book is The Commitment. (13 minutes)Cancer • Health Care/Medicine Dan Savage
 
Song:
""The Cat Came Back"", Headache City
 
"
320.01,100.0,1.0,100.0,3029.0,3029.0,320,0.01,"Act One. Truth, Damn Truth And Statistics.",Alex Blumberg,"
Two years ago, a Johns Hopkins University study published in The Lancet estimated the number of civilian casualties in Iraq. It came up with a number—100,000 dead—that was higher than any other estimate at the time and was mostly ignored. Producer Alex Blumberg tells the remarkable story of what it took to find that number, why we should find it credible and why almost no one believed it. (37 minutes). Death • Family • Iraq • Journalism • War Alex Blumberg
 "
320.02,100.0,1.0,100.0,955.0,955.0,320,0.02,Act Two. Not Just A Number.,Ira Glass,"
Captain Ryan Gist was given a particularly tough assignment in Iraq: To build relationships with a town where U.S. bombs had killed twelve innocent people. But first he has to apologize to the families of those who were killed. We hear the apology, captured on tape by a journalist in Iraq, and talk to Captain Gist about his work there after this incident. (8 minutes) Death • Family • Iraq • Military • War Ira Glass
 "
298.02,0.0,1.0,100.0,651.0,651.0,298,0.02,Act Two. That Guy.,Diane Cook,"
Producer Diane Cook investigates that moment when you realize you've become ""that guy"" you've always hated, and how the simple act of purchasing deodorant can lead to that moment. (10 minutes)Advertising/Marketing Diane Cook
 
Song:
""That Guy"", The Family Guy 
 
"
297.04,100.0,1.0,100.0,421.0,421.0,297,0.04,Act Four. The Long Way Home.,Nick Spitzer,"
Nick Spitzer, host of the Public Radio International music show American Routes, drives through deserted streets to return to his own house, and finds it doesn't feel at all like home. (14 minutes) Natural Disasters Nick Spitzer
 
Song:
""Don't Ever Be Afraid to Go Home"", Frank Sinatra
 
"
294.02,100.0,1.0,100.0,764.0,764.0,294,0.02,Act Two. Goldstein On Goldstein.,Jonathan Goldstein,"
Jonathan Goldstein decides to find out—once and for all—if his dad Buzz thinks he's manly enough. (15 minutes) Childhood • Fathers Jonathan Goldstein
 
Song:
""I'm Waiting For the Man"", David Bowie
 
"
